hour,lat,long,signal,network,operator,status,description,speed,satellites,precision,provider,activity,postal_code
00:00:00,37.39948,-12.72201,8,vodafone,vodafone ES,0,STATE_IN_SERVICE,111.1,11.9,45.2,gps,STILL,80202
00:00:01,31.62001,-32.55809,29,yoigo,RACC,0,STATE_IN_SERVICE,13.6,5.3,57.3,fused,STILL,94102
00:00:02,39.5696,-31.09612,21,DTAC,GETESA,0,STATE_IN_SERVICE,104,6.6,146.9,gps,IN_VEHICLE,19104
00:00:03,19.21117,-18.49404,8,VIVO,JAZZTEL,0,STATE_IN_SERVICE,146.3,12.6,115,fused,ON_FOOT,10001
00:00:04,12.61651,-15.54454,25,DTAC,Movistar,0,STATE_IN_SERVICE,97.7,5.2,79.1,gps,IN_VEHICLE,90001
00:00:05,4.0527,-28.73131,0,RACC,DTAC,0,STATE_IN_SERVICE,13,11.1,108.5,fused,TILTING,30301
00:00:06,22.80632,-4.39255,24,simyo,GETESA,0,STATE_IN_SERVICE,103.3,14.4,91.7,gps,UNKNOWN,19104
00:00:07,4.58913,-9.06762,2,yoigo,JAZZTEL,0,STATE_IN_SERVICE,141.8,3,25.9,fused,STILL,33101
00:00:08,3.171,-27.43819,10,Tuenti,Tuenti,0,STATE_IN_SERVICE,20.3,7.3,136.1,gps,UNKNOWN,98101
00:00:09,27.18833,-5.44423,1,DTAC,DTAC,0,STATE_IN_SERVICE,73.5,9.7,9.1,gps,TILTING,75201
00:00:10,9.59304,-13.7442,11,Eroski Movil,GETESA,0,STATE_IN_SERVICE,136.1,6.3,44.4,fused,TILTING,85001
00:00:11,25.39115,-23.95016,8,GETESA,Movistar,0,STATE_IN_SERVICE,10.5,11.6,65.6,gps,ON_BICYCLE,19104
00:00:12,25.94091,-4.51967,11,Tuenti,Movistar,0,STATE_IN_SERVICE,67.2,5.3,120,gps,UNKNOWN,60601
00:00:13,31.95357,-16.53773,15,VIVO,DTAC,0,STATE_IN_SERVICE,111.8,13,52.2,fused,ON_FOOT,77002
00:00:14,18.32515,-19.38453,2,orange,RACC,0,STATE_IN_SERVICE,31.5,2.5,111,gps,UNKNOWN,37203
00:00:15,31.20622,-35.39534,0,vodafone,YOIGO,0,STATE_IN_SERVICE,89,9.7,43.6,gps,IN_VEHICLE,94102
00:00:16,17.63862,-4.79228,27,VIVO,DTAC,0,STATE_IN_SERVICE,113.6,14.8,143.9,gps,ON_FOOT,21201
00:00:17,6.91148,-25.50457,4,simyo,RACC,0,STATE_IN_SERVICE,85.5,8.4,101.3,fused,IN_VEHICLE,37203
00:00:18,15.3996,-24.96371,28,GETESA,simyo,0,STATE_IN_SERVICE,90.5,13.7,80,gps,ON_BICYCLE,21201
00:00:19,3.30269,-4.25118,11,RACC,Tuenti,0,STATE_IN_SERVICE,83.8,4.2,30.3,gps,UNKNOWN,60601
00:00:20,21.49845,-32.72129,30,DTAC,Tuenti,0,STATE_IN_SERVICE,25.9,4.2,13.1,fused,UNKNOWN,80202
00:00:21,32.61245,0.27192,26,Tuenti,vodafone ES,0,STATE_IN_SERVICE,85.2,5.9,27,fused,UNKNOWN,80202
00:00:22,34.3899,-23.41365,18,yoigo,simyo,0,STATE_IN_SERVICE,96.4,5.1,119.2,gps,UNKNOWN,19104
00:00:23,12.28387,-23.32663,20,RACC,Orange,0,STATE_IN_SERVICE,134.7,0.2,38.1,gps,TILTING,10001
00:00:24,7.22573,-9.43344,29,RACC,Orange,0,STATE_IN_SERVICE,144.2,1.2,37.6,gps,STILL,94102
00:00:25,10.4172,-22.28431,13,yoigo,Tuenti,0,STATE_IN_SERVICE,80.8,10.9,101.5,gps,ON_BICYCLE,19104
00:00:26,42.34852,-25.70695,7,vodafone,Orange,0,STATE_IN_SERVICE,138.4,1,107.9,gps,UNKNOWN,21201
00:00:27,15.48411,-29.94474,4,vodafone,Eroski Movil,0,STATE_IN_SERVICE,127.6,10,130.9,gps,UNKNOWN,94102
00:00:28,20.17138,-23.38652,20,yoigo,simyo,0,STATE_IN_SERVICE,140.4,8.2,109.9,fused,ON_BICYCLE,60601
00:00:29,6.02506,0.95519,18,Tuenti,Tuenti,0,STATE_IN_SERVICE,1,10.3,41.9,fused,UNKNOWN,90001
00:00:30,34.57321,-31.0173,15,movistar,RACC,0,STATE_IN_SERVICE,15.7,10.5,66.4,fused,IN_VEHICLE,19104
00:00:31,20.93961,-0.42741,18,vodafone,GETESA,0,STATE_IN_SERVICE,48.4,9,70.8,fused,ON_FOOT,60601
00:00:32,6.49592,-14.17606,10,movistar,JAZZTEL,0,STATE_IN_SERVICE,112.5,5,92.3,gps,TILTING,37203
00:00:33,21.91768,-10.35968,15,simyo,VIVO,0,STATE_IN_SERVICE,68.1,13.2,88.4,fused,UNKNOWN,90001
00:00:34,31.53098,-5.76434,17,vodafone,Movistar,0,STATE_IN_SERVICE,39,5.6,25.4,gps,ON_BICYCLE,10001
00:00:35,21.92152,-34.32063,3,DTAC,Movistar,0,STATE_IN_SERVICE,39.7,2.9,125,fused,TILTING,30301
00:00:36,41.74531,1.02607,16,VIVO,RACC,0,STATE_IN_SERVICE,110.9,2.6,23.6,gps,ON_FOOT,10001
00:00:37,37.86655,-7.13158,1,vodafone,DTAC,0,STATE_IN_SERVICE,126.8,12.1,50.9,gps,ON_BICYCLE,85001
00:00:38,23.59228,-5.52318,26,orange,simyo,0,STATE_IN_SERVICE,56.9,9.7,77.9,fused,TILTING,60601
00:00:39,40.62031,-19.8242,15,orange,simyo,0,STATE_IN_SERVICE,38.2,14.6,15.4,fused,UNKNOWN,98101
00:00:40,35.45551,-13.30808,18,vodafone,RACC,0,STATE_IN_SERVICE,37.4,5.3,16.7,gps,TILTING,19104
00:00:41,17.7308,-14.66794,5,Tuenti,YOIGO,0,STATE_IN_SERVICE,121.6,4.4,55,fused,TILTING,10001
00:00:42,33.85639,-32.27228,24,yoigo,VIVO,0,STATE_IN_SERVICE,131.5,7.6,84.6,fused,UNKNOWN,19104
