hour,lat,long,signal,network,operator,status,description,speed,satellites,precision,provider,activity,postal_code
00:00:00,37.39948,-12.72201,8,vodafone,vodafone ES,0,STATE_IN_SERVICE,111.1,11.9,45.2,gps,STILL,10000
00:00:01,31.62001,-32.55809,29,yoigo,RACC,0,STATE_IN_SERVICE,13.6,5.3,57.3,fused,STILL,10002
00:00:02,39.5696,-31.09612,21,DTAC,GETESA,0,STATE_IN_SERVICE,104,6.6,146.9,gps,IN_VEHICLE,10013
00:00:03,19.21117,-18.49404,8,VIVO,JAZZTEL,0,STATE_IN_SERVICE,146.3,12.6,115,fused,ON_FOOT,10019
00:00:04,12.61651,-15.54454,25,DTAC,Movistar,0,STATE_IN_SERVICE,97.7,5.2,79.1,gps,IN_VEHICLE,10042
00:00:05,4.0527,-28.73131,0,RACC,DTAC,0,STATE_IN_SERVICE,13,11.1,108.5,fused,TILTING,10050
00:00:06,22.80632,-4.39255,24,simyo,GETESA,0,STATE_IN_SERVICE,103.3,14.4,91.7,gps,UNKNOWN,10107
00:00:07,4.58913,-9.06762,2,yoigo,JAZZTEL,0,STATE_IN_SERVICE,141.8,3,25.9,fused,STILL,10123
00:00:08,3.171,-27.43819,10,Tuenti,Tuenti,0,STATE_IN_SERVICE,20.3,7.3,136.1,gps,UNKNOWN,10169
00:00:09,27.18833,-5.44423,1,DTAC,DTAC,0,STATE_IN_SERVICE,73.5,9.7,9.1,gps,TILTING,10187
00:00:10,9.59304,-13.7442,11,Eroski Movil,GETESA,0,STATE_IN_SERVICE,136.1,6.3,44.4,fused,TILTING,10195
00:00:11,25.39115,-23.95016,8,GETESA,Movistar,0,STATE_IN_SERVICE,10.5,11.6,65.6,gps,ON_BICYCLE,10259
00:00:12,25.94091,-4.51967,11,Tuenti,Movistar,0,STATE_IN_SERVICE,67.2,5.3,120,gps,UNKNOWN,10266
00:00:13,31.95357,-16.53773,15,VIVO,DTAC,0,STATE_IN_SERVICE,111.8,13,52.2,fused,ON_FOOT,10289
00:00:14,18.32515,-19.38453,2,orange,RACC,0,STATE_IN_SERVICE,31.5,2.5,111,gps,UNKNOWN,10311
00:00:15,31.20622,-35.39534,0,vodafone,YOIGO,0,STATE_IN_SERVICE,89,9.7,43.6,gps,IN_VEHICLE,10321
00:00:16,17.63862,-4.79228,27,VIVO,DTAC,0,STATE_IN_SERVICE,113.6,14.8,143.9,gps,ON_FOOT,10345
00:00:17,6.91148,-25.50457,4,simyo,RACC,0,STATE_IN_SERVICE,85.5,8.4,101.3,fused,IN_VEHICLE,10383
00:00:18,15.3996,-24.96371,28,GETESA,simyo,0,STATE_IN_SERVICE,90.5,13.7,80,gps,ON_BICYCLE,10410
00:00:19,3.30269,-4.25118,11,RACC,Tuenti,0,STATE_IN_SERVICE,83.8,4.2,30.3,gps,UNKNOWN,10412
00:00:20,21.49845,-32.72129,30,DTAC,Tuenti,0,STATE_IN_SERVICE,25.9,4.2,13.1,fused,UNKNOWN,10423
